id_equipo,nombre_equipo,marca,categoria,modelo,numero_serie,frecuencia_mantenimiento_meses,vida_util_meses,precio_unitario,estado
EQ-0028,SELLADORA TERMICA,3M,SELLADORA,M-SERIES-401,S3531148,12,120,26940.3,En mantenimiento
EQ-0029,LAVADORA DESINFECTADORA,STERIS,LAVADORA,V251,S4068355,6,120,13168.15,Operativo
EQ-0030,INCUBADORA,ASP,INCUBADORA,I-ASP-501,S1073802,12,60,21501.2,Operativo
EQ-0031,ESTERILIZADOR A VAPOR,GETINGE,ESTERILIZADOR,V-GET-601,S7743572,6,120,13700.66,Operativo
EQ-0032,ESTERILIZADOR A PEROXIDO DE HIDROGENO,3M,ESTERILIZADOR,M-PEROX-701,S2482768,6,84,27317.26,Pendiente de revision
EQ-0033,SELLADORA TERMICA,STERIS,SELLADORA,V-TER-801,S4560604,12,84,24748.82,Operativo
EQ-0034,LAVADORA DESINFECTADORA,ASP,LAVADORA,A-LAV-901,S8698783,6,60,12051.74,Operativo
EQ-0035,INCUBADORA,GETINGE,INCUBADORA,G-INC-1001,S2306255,12,120,19582.41,En mantenimiento
EQ-0036,ESTERILIZADOR A VAPOR,3M,ESTERILIZADOR,M-VAP-1101,S6234658,6,84,7419.33,Operativo
EQ-0037,ESTERILIZADOR A PEROXIDO DE HIDROGENO,STERIS,ESTERILIZADOR,V-PEROX-1201,S1193428,6,120,7822.42,Operativo
EQ-0038,SELLADORA TERMICA,ASP,SELLADORA,A-TER-1301,S6400620,12,120,9749.86,Pendiente de revision
EQ-0039,LAVADORA DESINFECTADORA,GETINGE,LAVADORA,G-LAV-1401,S6609635,6,120,18638.04,Operativo
EQ-0040,INCUBADORA,3M,INCUBADORA,M-INC-1501,S7140111,12,120,16548.23,Operativo
EQ-0041,ESTERILIZADOR A VAPOR,STERIS,ESTERILIZADOR,V102,S9886706,6,84,12095.68,Operativo
EQ-0042,ESTERILIZADOR A PEROXIDO DE HIDROGENO,ASP,ESTERILIZADOR,STERILAD-3,S8220823,6,60,29840.11,En mantenimiento
EQ-0043,SELLADORA TERMICA,GETINGE,SELLADORA,V52,S7745042,12,84,23986.12,Operativo
EQ-0044,LAVADORA DESINFECTADORA,3M,LAVADORA,L-SERIES-202,S4075769,6,60,29349.96,Operativo
EQ-0045,INCUBADORA,STERIS,INCUBADORA,I-SERIES-102,S3670903,12,84,20870.14,Pendiente de revision
EQ-0046,ESTERILIZADOR A VAPOR,ASP,ESTERILIZADOR,A202,S6525693,6,84,11747.2,Operativo
EQ-0047,ESTERILIZADOR A PEROXIDO DE HIDROGENO,GETINGE,ESTERILIZADOR,G-PEROXIDO-302,S6032343,6,84,11745.77,Operativo
EQ-0048,SELLADORA TERMICA,3M,SELLADORA,M-SERIES-402,S2869889,12,60,13032.06,En mantenimiento
EQ-0049,LAVADORA DESINFECTADORA,STERIS,LAVADORA,V252,S2678698,6,60,13122.76,Operativo
EQ-0050,INCUBADORA,ASP,INCUBADORA,I-ASP-502,S3632247,12,60,27725.87,Operativo
EQ-0051,ESTERILIZADOR A VAPOR,GETINGE,ESTERILIZADOR,V-GET-602,S6095853,6,60,5317.65,Operativo
EQ-0052,ESTERILIZADOR A PEROXIDO DE HIDROGENO,3M,ESTERILIZADOR,M-PEROX-702,S9360142,6,84,7274.51,Pendiente de revision
EQ-0053,SELLADORA TERMICA,STERIS,SELLADORA,V-TER-802,S6540639,12,84,13002.84,Operativo
EQ-0054,LAVADORA DESINFECTADORA,ASP,LAVADORA,A-LAV-902,S7712703,6,120,28968.82,Operativo
EQ-0055,INCUBADORA,GETINGE,INCUBADORA,G-INC-1002,S4039354,12,60,27652.65,En mantenimiento
EQ-0056,ESTERILIZADOR A VAPOR,3M,ESTERILIZADOR,M-VAP-1102,S7436749,6,120,6416.24,Operativo
EQ-0057,ESTERILIZADOR A PEROXIDO DE HIDROGENO,STERIS,ESTERILIZADOR,V-PEROX-1202,S3126248,6,84,16114.05,Operativo
EQ-0058,SELLADORA TERMICA,ASP,SELLADORA,A-TER-1302,S8201361,12,120,5836.32,Pendiente de revision
EQ-0059,LAVADORA DESINFECTADORA,GETINGE,LAVADORA,G-LAV-1402,S4054016,6,120,8689.77,Operativo
EQ-0060,INCUBADORA,3M,INCUBADORA,M-INC-1502,S6212359,12,120,6457.3,Operativo
EQ-0061,ESTERILIZADOR A VAPOR,STERIS,ESTERILIZADOR,V103,S9783908,6,84,10004.44,Operativo
EQ-0062,ESTERILIZADOR A PEROXIDO DE HIDROGENO,ASP,ESTERILIZADOR,STERILAD-4,S6109121,6,84,12062.67,En mantenimiento
EQ-0063,SELLADORA TERMICA,GETINGE,SELLADORA,V53,S5345507,12,120,24130.22,Operativo
EQ-0064,LAVADORA DESINFECTADORA,3M,LAVADORA,L-SERIES-203,S7597594,6,60,16328.45,Operativo
EQ-0065,INCUBADORA,STERIS,INCUBADORA,I-SERIES-103,S9527562,12,60,19412.15,Pendiente de revision
EQ-0066,ESTERILIZADOR A VAPOR,ASP,ESTERILIZADOR,A203,S1307281,6,120,11523.24,Operativo
EQ-0067,ESTERILIZADOR A PEROXIDO DE HIDROGENO,GETINGE,ESTERILIZADOR,G-PEROXIDO-303,S8969426,6,60,14392.65,Operativo
EQ-0068,SELLADORA TERMICA,3M,SELLADORA,M-SERIES-403,S1382057,12,120,7310.97,En mantenimiento
EQ-0069,LAVADORA DESINFECTADORA,STERIS,LAVADORA,V253,S7421585,6,120,25387.23,Operativo
EQ-0070,INCUBADORA,ASP,INCUBADORA,I-ASP-503,S5230754,12,60,6158.62,Operativo
EQ-0071,ESTERILIZADOR A VAPOR,GETINGE,ESTERILIZADOR,V-GET-603,S6654245,6,84,19476.87,Operativo
EQ-0072,ESTERILIZADOR A PEROXIDO DE HIDROGENO,3M,ESTERILIZADOR,M-PEROX-703,S9551823,6,60,10283.41,Pendiente de revision
EQ-0073,SELLADORA TERMICA,STERIS,SELLADORA,V-TER-803,S4237975,12,60,25492.23,Operativo
EQ-0074,LAVADORA DESINFECTADORA,ASP,LAVADORA,A-LAV-903,S1305761,6,84,23414.0,Operativo
EQ-0075,INCUBADORA,GETINGE,INCUBADORA,G-INC-1003,S4304265,12,84,11271.24,En mantenimiento
EQ-0076,ESTERILIZADOR A VAPOR,3M,ESTERILIZADOR,M-VAP-1103,S2066675,6,60,16887.68,Operativo
EQ-0077,ESTERILIZADOR A PEROXIDO DE HIDROGENO,STERIS,ESTERILIZADOR,V-PEROX-1203,S9725856,6,84,6462.12,Operativo
EQ-0078,SELLADORA TERMICA,ASP,SELLADORA,A-TER-1303,S7211457,12,120,8414.39,Pendiente de revision
EQ-0079,LAVADORA DESINFECTADORA,GETINGE,LAVADORA,G-LAV-1403,S7544417,6,84,10031.05,Operativo
EQ-0080,INCUBADORA,3M,INCUBADORA,M-INC-1503,S8598246,12,84,21271.85,Operativo
EQ-0081,ESTERILIZADOR A VAPOR,STERIS,ESTERILIZADOR,V104,S3537124,6,84,29565.91,Operativo
EQ-0082,ESTERILIZADOR A PEROXIDO DE HIDROGENO,ASP,ESTERILIZADOR,STERILAD-5,S9256293,6,60,11061.33,En mantenimiento
EQ-0083,SELLADORA TERMICA,GETINGE,SELLADORA,V54,S5780804,12,84,25924.71,Operativo
EQ-0084,LAVADORA DESINFECTADORA,3M,LAVADORA,L-SERIES-204,S4328199,6,60,8363.18,Operativo
EQ-0085,INCUBADORA,STERIS,INCUBADORA,I-SERIES-104,S2038811,12,120,11103.39,Pendiente de revision
EQ-0086,ESTERILIZADOR A VAPOR,ASP,ESTERILIZADOR,A204,S5899561,6,60,6599.3,Operativo
EQ-0087,ESTERILIZADOR A PEROXIDO DE HIDROGENO,GETINGE,ESTERILIZADOR,G-PEROXIDO-304,S6440458,6,120,8208.71,Operativo
EQ-0088,SELLADORA TERMICA,3M,SELLADORA,M-SERIES-404,S9561273,12,84,21840.87,En mantenimiento
EQ-0089,LAVADORA DESINFECTADORA,STERIS,LAVADORA,V254,S7170763,6,120,9014.6,Operativo
EQ-0090,INCUBADORA,ASP,INCUBADORA,I-ASP-504,S7153032,12,120,24085.24,Operativo
EQ-0091,ESTERILIZADOR A VAPOR,GETINGE,ESTERILIZADOR,V-GET-604,S9093070,6,60,6012.91,Operativo
EQ-0092,ESTERILIZADOR A PEROXIDO DE HIDROGENO,3M,ESTERILIZADOR,M-PEROX-704,S8136271,6,60,10469.52,Pendiente de revision
EQ-0093,SELLADORA TERMICA,STERIS,SELLADORA,V-TER-804,S4618812,12,84,20112.96,Operativo
EQ-0094,LAVADORA DESINFECTADORA,ASP,LAVADORA,A-LAV-904,S9677152,6,120,6191.54,Operativo
EQ-0095,INCUBADORA,GETINGE,INCUBADORA,G-INC-1004,S2254188,12,60,12412.52,En mantenimiento
EQ-0096,ESTERILIZADOR A VAPOR,3M,ESTERILIZADOR,M-VAP-1104,S1036493,6,84,21324.72,Operativo
EQ-0097,ESTERILIZADOR A PEROXIDO DE HIDROGENO,STERIS,ESTERILIZADOR,V-PEROX-1204,S9332438,6,84,20424.61,Operativo
EQ-0098,SELLADORA TERMICA,ASP,SELLADORA,A-TER-1304,S5586731,12,60,10452.66,Pendiente de revision
EQ-0099,LAVADORA DESINFECTADORA,GETINGE,LAVADORA,G-LAV-1404,S9383006,6,84,5513.1,Operativo
EQ-0100,INCUBADORA,3M,INCUBADORA,M-INC-1504,S1507675,12,60,23497.5,Operativo
EQ-0101,ESTERILIZADOR A VAPOR,STERIS,ESTERILIZADOR,V100,S9287813,6,84,16232.82,Operativo
EQ-0102,ESTERILIZADOR A PEROXIDO DE HIDROGENO,ASP,ESTERILIZADOR,STERILAD,S1363172,6,120,13420.18,En mantenimiento
EQ-0103,SELLADORA TERMICA,GETINGE,SELLADORA,V50,S8654568,12,84,5640.79,Operativo
EQ-0104,LAVADORA DESINFECTADORA,3M,LAVADORA,L-SERIES-200,S6821405,6,60,29728.43,Operativo
EQ-0105,INCUBADORA,STERIS,INCUBADORA,I-SERIES-100,S8314454,12,60,23401.07,Pendiente de revision
EQ-0106,ESTERILIZADOR A VAPOR,ASP,ESTERILIZADOR,A200,S9584328,6,84,13585.5,Operativo
EQ-0107,ESTERILIZADOR A PEROXIDO DE HIDROGENO,GETINGE,ESTERILIZADOR,G-PEROXIDO-300,S2112696,6,84,21853.08,Operativo
EQ-0108,SELLADORA TERMICA,3M,SELLADORA,M-SERIES-400,S7103040,12,84,19020.46,En mantenimiento
EQ-0109,LAVADORA DESINFECTADORA,STERIS,LAVADORA,V250,S7922219,6,120,25894.13,Operativo
EQ-0110,INCUBADORA,ASP,INCUBADORA,I-ASP-500,S3673886,12,84,7358.77,Operativo
EQ-0111,ESTERILIZADOR A VAPOR,GETINGE,ESTERILIZADOR,V-GET-600,S5507992,6,84,14770.47,Operativo
EQ-0112,ESTERILIZADOR A PEROXIDO DE HIDROGENO,3M,ESTERILIZADOR,M-PEROX-700,S1382810,6,120,7554.71,Pendiente de revision
EQ-0113,SELLADORA TERMICA,STERIS,SELLADORA,V-TER-800,S3112730,12,120,10640.31,Operativo
EQ-0114,LAVADORA DESINFECTADORA,ASP,LAVADORA,A-LAV-900,S4482531,6,60,25600.11,Operativo
EQ-0115,INCUBADORA,GETINGE,INCUBADORA,G-INC-1000,S9264630,12,84,22231.77,En mantenimiento
EQ-0116,ESTERILIZADOR A VAPOR,3M,ESTERILIZADOR,M-VAP-1100,S1574687,6,60,18936.09,Operativo
EQ-0117,ESTERILIZADOR A PEROXIDO DE HIDROGENO,STERIS,ESTERILIZADOR,V-PEROX-1200,S9232435,6,60,6456.84,Operativo
EQ-0118,SELLADORA TERMICA,ASP,SELLADORA,A-TER-1300,S5871369,12,60,16276.56,Pendiente de revision
EQ-0119,LAVADORA DESINFECTADORA,GETINGE,LAVADORA,G-LAV-1400,S7726553,6,60,8272.84,Operativo
EQ-0120,INCUBADORA,3M,INCUBADORA,M-INC-1500,S8116515,12,84,8944.39,Operativo
EQ-0121,ESTERILIZADOR A VAPOR,STERIS,ESTERILIZADOR,V101,S4339757,6,120,20048.59,Operativo
EQ-0122,ESTERILIZADOR A PEROXIDO DE HIDROGENO,ASP,ESTERILIZADOR,STERILAD-2,S8869621,6,84,21144.69,En mantenimiento
EQ-0123,SELLADORA TERMICA,GETINGE,SELLADORA,V51,S3383743,12,60,5089.12,Operativo
EQ-0124,LAVADORA DESINFECTADORA,3M,LAVADORA,L-SERIES-201,S9380025,6,120,25821.35,Operativo
EQ-0125,INCUBADORA,STERIS,INCUBADORA,I-SERIES-101,S5240559,12,60,25078.46,Pendiente de revision
EQ-0126,ESTERILIZADOR A VAPOR,ASP,ESTERILIZADOR,A201,S3926636,6,60,19623.22,Operativo
EQ-0127,ESTERILIZADOR A PEROXIDO DE HIDROGENO,GETINGE,ESTERILIZADOR,G-PEROXIDO-301,S9379914,6,120,5297.79,Operativo
EQ-0128,SELLADORA TERMICA,3M,SELLADORA,M-SERIES-401,S1104549,12,120,17636.35,En mantenimiento
EQ-0129,LAVADORA DESINFECTADORA,STERIS,LAVADORA,V251,S6038046,6,84,10231.32,Operativo
EQ-0130,INCUBADORA,ASP,INCUBADORA,I-ASP-501,S4783088,12,84,14977.08,Operativo
EQ-0131,ESTERILIZADOR A VAPOR,GETINGE,ESTERILIZADOR,V-GET-601,S9295061,6,60,8172.04,Operativo
EQ-0132,ESTERILIZADOR A PEROXIDO DE HIDROGENO,3M,ESTERILIZADOR,M-PEROX-701,S6877106,6,60,16072.75,Pendiente de revision
EQ-0133,SELLADORA TERMICA,STERIS,SELLADORA,V-TER-801,S3801486,12,60,18194.26,Operativo
EQ-0134,LAVADORA DESINFECTADORA,ASP,LAVADORA,A-LAV-901,S3620304,6,120,18601.51,Operativo
EQ-0135,INCUBADORA,GETINGE,INCUBADORA,G-INC-1001,S9194286,12,84,9261.51,En mantenimiento
EQ-0136,ESTERILIZADOR A VAPOR,3M,ESTERILIZADOR,M-VAP-1101,S6233873,6,60,8276.43,Operativo
EQ-0137,ESTERILIZADOR A PEROXIDO DE HIDROGENO,STERIS,ESTERILIZADOR,V-PEROX-1201,S8037103,6,120,24629.06,Operativo
EQ-0138,SELLADORA TERMICA,ASP,SELLADORA,A-TER-1301,S5156537,12,84,18817.77,Pendiente de revision
EQ-0139,LAVADORA DESINFECTADORA,GETINGE,LAVADORA,G-LAV-1401,S8984498,6,60,18181.33,Operativo
EQ-0140,INCUBADORA,3M,INCUBADORA,M-INC-1501,S5283261,12,60,12641.92,Operativo
EQ-0141,ESTERILIZADOR A VAPOR,STERIS,ESTERILIZADOR,V102,S4595897,6,120,28081.36,Operativo
EQ-0142,ESTERILIZADOR A PEROXIDO DE HIDROGENO,ASP,ESTERILIZADOR,STERILAD-3,S9009282,6,60,18703.74,En mantenimiento
EQ-0143,SELLADORA TERMICA,GETINGE,SELLADORA,V52,S5904726,12,120,18697.57,Operativo
EQ-0144,LAVADORA DESINFECTADORA,3M,LAVADORA,L-SERIES-202,S8777892,6,84,20648.91,Operativo
EQ-0145,INCUBADORA,STERIS,INCUBADORA,I-SERIES-102,S7285193,12,84,29215.1,Pendiente de revision
EQ-0146,ESTERILIZADOR A VAPOR,ASP,ESTERILIZADOR,A202,S5086169,6,60,10890.71,Operativo
EQ-0147,ESTERILIZADOR A PEROXIDO DE HIDROGENO,GETINGE,ESTERILIZADOR,G-PEROXIDO-302,S6287542,6,120,20173.39,Operativo
EQ-0148,SELLADORA TERMICA,3M,SELLADORA,M-SERIES-402,S8824280,12,60,21947.3,En mantenimiento
EQ-0149,LAVADORA DESINFECTADORA,STERIS,LAVADORA,V252,S2394367,6,60,29420.81,Operativo
EQ-0150,INCUBADORA,ASP,INCUBADORA,I-ASP-502,S8605296,12,120,24680.99,Operativo
