id_venta,id_cliente,id_equipo,fecha_compra,cantidad,precio_unitario,precio_total,numero_serie,ubicacion_instalacion,contrato_mantenimiento
VE-0100,CL-0118,EQ-0051,08/11/2024,1,5317.65,5317.65,S6095853,"Sector 6, Grupo 1",Si
VE-0101,CL-0109,EQ-0135,22/01/2025,3,9261.51,27784.53,S9194286,Av. Honorio Delgado 400,No
VE-0102,CL-0115,EQ-0087,03/02/2024,2,8208.71,16417.42,S6440458,Av. San Gabriel 700,Si
VE-0103,CL-0100,EQ-0072,27/05/2022,2,10283.41,20566.82,S9551823,Jr. Iquique 50,Si
VE-0104,CL-0031,EQ-0124,04/01/2023,1,25821.35,25821.35,S9380025,Calle Los Pinos 10,Si
VE-0105,CL-0143,EQ-0122,22/11/2025,2,21144.69,42289.38,S8869621,Jr. Loreto 450,Si
VE-0106,CL-0062,EQ-0084,20/12/2023,1,8363.18,8363.18,S4328199,Av. Javier Prado Este 3000,Si
VE-0107,CL-0106,EQ-0014,09/02/2023,2,19238.26,38476.52,S3731381,Calle Los Negocios 200,Si
VE-0108,CL-0093,EQ-0145,09/11/2024,1,29215.1,29215.1,S7285193,Av. Ricardo Palma 900,No
VE-0109,CL-0113,EQ-0082,21/09/2024,1,11061.33,11061.33,S9256293,Av. Del Parque 600,No
VE-0110,CL-0146,EQ-0044,15/08/2022,2,29349.96,58699.92,S4075769,Jr. Manuel Gomez 115,Si
VE-0111,CL-0032,EQ-0049,12/02/2023,1,13122.76,13122.76,S2678698,Av. Paso de los Andes 700,No
VE-0112,CL-0009,EQ-0145,11/04/2024,2,29215.1,58430.2,S7285193,Av. Riva Ag�ero 1200,No
VE-0113,CL-0070,EQ-0126,29/06/2024,1,19623.22,19623.22,S3926636,Av. El Derby 350,No
VE-0114,CL-0023,EQ-0125,18/11/2024,3,25078.46,75235.38,S5240559,Jr. Huiracocha 250,No
VE-0115,CL-0112,EQ-0037,28/02/2023,2,7822.42,15644.84,S1193428,Av. Las Gaviotas 300,No
VE-0116,CL-0145,EQ-0003,10/05/2025,2,27611.99,55223.98,S1644957,Calle Roca de Vergallo 10,No
VE-0117,CL-0073,EQ-0088,15/07/2023,3,21840.87,65522.61,S9561273,Av. Santa Rosa 1500,No
VE-0118,CL-0028,EQ-0047,14/11/2022,1,11745.77,11745.77,S6032343,Av. Belaunde 950,Si
VE-0119,CL-0021,EQ-0018,20/09/2025,1,15821.64,15821.64,S9420711,Calle Dean Valdivia 10,No
VE-0120,CL-0147,EQ-0044,29/02/2024,2,29349.96,58699.92,S4075769,Av. Benavides 2000,No
VE-0121,CL-0058,EQ-0006,25/07/2024,3,28759.01,86277.03,S2510670,Av. Antunez de Mayolo 100,No
VE-0122,CL-0135,EQ-0036,01/01/2023,2,7419.33,14838.66,S6234658,Av. Carlos Wiesse 50,Si
VE-0123,CL-0027,EQ-0034,13/01/2022,2,12051.74,24103.48,S8698783,Jr. Cuzco 100,Si
VE-0124,CL-0027,EQ-0047,02/02/2024,3,11745.77,35237.31,S6032343,Av. La Encalada 300,Si
VE-0125,CL-0120,EQ-0089,25/02/2024,3,9014.6,27043.8,S7170763,"Sector 4, Grupo 12",No
VE-0126,CL-0068,EQ-0119,19/02/2023,1,8272.84,8272.84,S7726553,Av. Tomas Valle 150,Si
VE-0127,CL-0009,EQ-0013,17/04/2022,2,5993.61,11987.22,S3577680,Av. 26 de Noviembre 800,Si
VE-0128,CL-0147,EQ-0094,23/08/2024,3,6191.54,18574.62,S9677152,Jr. Mariano Cornejo 700,No
VE-0129,CL-0093,EQ-0093,10/12/2022,3,20112.96,60338.88,S4618812,Av. San Pedro 50,Si
VE-0130,CL-0011,EQ-0068,17/12/2021,3,7310.97,21932.91,S1382057,Jr. Huaraz 10,Si
VE-0131,CL-0118,EQ-0147,22/08/2025,3,20173.39,60520.17,S6287542,Av. Fray Luis de Leon 30,Si
VE-0132,CL-0055,EQ-0023,09/02/2023,2,27062.65,54125.3,S4718432,Calle Junin 550,Si
VE-0133,CL-0150,EQ-0015,25/03/2023,1,22142.77,22142.77,S2534818,Av. Pardo y Aliaga 10,Si
VE-0134,CL-0110,EQ-0136,09/07/2025,2,8276.43,16552.86,S6233873,Jr. Las Dalias 200,Si
VE-0135,CL-0037,EQ-0128,02/02/2024,2,17636.35,35272.7,S1104549,Av. Petit Thouars 1500,Si
VE-0136,CL-0089,EQ-0002,16/11/2022,3,5771.61,17314.83,S8923900,Jr. Mariano Odria 100,Si
VE-0137,CL-0075,EQ-0073,21/11/2024,2,25492.23,50984.46,S4237975,Av. Los Patriotas 30,No
VE-0138,CL-0120,EQ-0066,14/12/2021,3,11523.24,34569.72,S1307281,Calle Monte Grande 400,No
VE-0139,CL-0136,EQ-0010,21/11/2024,1,20871.21,20871.21,S5652701,Jr. Talara 111,No
VE-0140,CL-0047,EQ-0089,01/02/2023,1,9014.6,9014.6,S7170763,Av. Guardia Peruana 70,Si
VE-0141,CL-0029,EQ-0058,05/05/2024,1,5836.32,5836.32,S8201361,Av. Brasil 3000,Si
VE-0142,CL-0094,EQ-0086,11/04/2023,2,6599.3,13198.6,S5899561,Av. 13 de Enero 500,No
VE-0143,CL-0019,EQ-0138,01/08/2023,2,18817.77,37635.54,S5156537,Av. Los Angeles 10,Si
VE-0144,CL-0054,EQ-0001,06/12/2022,2,12167.02,24334.04,S3749420,Calle Los Ficus 200,Si
VE-0145,CL-0022,EQ-0026,09/10/2023,3,19067.85,57203.55,S9583241,Av. Angamos Oeste 1000,No
VE-0146,CL-0020,EQ-0070,22/06/2022,1,6158.62,6158.62,S5230754,Av. Tomas Valle 900,Si
VE-0147,CL-0018,EQ-0109,26/01/2022,2,25894.13,51788.26,S7922219,Av. Metropolitana 50,No
VE-0148,CL-0126,EQ-0148,12/11/2022,3,21947.3,65841.9,S8824280,Jr. San Luis 300,Si
VE-0149,CL-0050,EQ-0092,15/02/2025,3,10469.52,31408.56,S8136271,Av. Bolognesi 10,Si
VE-0150,CL-0050,EQ-0033,12/08/2023,1,24748.82,24748.82,S4560604,"Sector 7, Grupo 4",Si
VE-0151,CL-0051,EQ-0014,09/01/2025,2,19238.26,38476.52,S3731381,Av. Peru 200,Si
VE-0152,CL-0092,EQ-0067,05/11/2025,2,14392.65,28785.3,S8969426,Av. Gran Chimu 800,No
VE-0153,CL-0071,EQ-0008,03/08/2023,2,27699.35,55398.7,S9430123,Av. Carlos Izaguirre 90,No
VE-0154,CL-0052,EQ-0133,05/02/2024,1,18194.26,18194.26,S3801486,Parque Industrial Mz D,Si
VE-0155,CL-0015,EQ-0040,24/10/2024,1,16548.23,16548.23,S7140111,Av. Tupac Amaru 3450,Si
VE-0156,CL-0032,EQ-0026,04/08/2022,2,19067.85,38135.7,S9583241,Calle Los Halcones 88,No
VE-0157,CL-0141,EQ-0079,16/12/2022,2,10031.05,20062.1,S7544417,Av. Brasil 3000,No
VE-0158,CL-0028,EQ-0115,26/02/2024,3,22231.77,66695.31,S9264630,Calle Los Sauces 45,Si
VE-0159,CL-0146,EQ-0021,26/04/2024,1,22213.46,22213.46,S6736316,Av. Tomas Valle 900,No
VE-0160,CL-0136,EQ-0113,23/09/2023,1,10640.31,10640.31,S3112730,Jr. Mariano Odria 100,No
VE-0161,CL-0047,EQ-0028,21/09/2025,3,26940.3,80820.9,S3531148,Calle Los Duraznos 50,No
VE-0162,CL-0148,EQ-0113,22/06/2023,3,10640.31,31920.93,S3112730,Jr. San Luis 300,Si
VE-0163,CL-0145,EQ-0102,28/12/2022,1,13420.18,13420.18,S1363172,Av. Angamos Oeste 1000,Si
VE-0164,CL-0077,EQ-0004,03/10/2025,2,7302.27,14604.54,S3679250,Av. Cesar Vallejo 150,No
VE-0165,CL-0128,EQ-0050,23/04/2024,1,27725.87,27725.87,S3632247,Jr. Mariano Cornejo 700,Si
VE-0166,CL-0035,EQ-0113,31/10/2024,2,10640.31,21280.62,S3112730,Av. Pardo de Zela 1100,No
VE-0167,CL-0112,EQ-0113,28/11/2023,2,10640.31,21280.62,S3112730,Av. Riva Aguero 1200,Si
VE-0168,CL-0045,EQ-0125,09/07/2024,2,25078.46,50156.92,S5240559,Av. Pardo 1300,Si
VE-0169,CL-0021,EQ-0056,20/12/2023,2,6416.24,12832.48,S7436749,"Sector 2, Grupo 15, Mz B",Si
VE-0170,CL-0064,EQ-0097,14/03/2024,2,20424.61,40849.22,S9332438,Calle Jose Maria Plaza 100,No
VE-0171,CL-0127,EQ-0049,04/12/2023,1,13122.76,13122.76,S2678698,Av. 26 de Noviembre 800,Si
VE-0172,CL-0066,EQ-0021,17/04/2025,1,22213.46,22213.46,S6736316,Av. Juan de Aliaga 100,No
VE-0173,CL-0077,EQ-0036,15/01/2023,3,7419.33,22257.99,S6234658,Av. Cesar Vallejo 150,Si
VE-0174,CL-0148,EQ-0044,02/03/2024,1,29349.96,29349.96,S4075769,Jr. San Luis 300,No
VE-0175,CL-0126,EQ-0072,03/08/2024,1,10283.41,10283.41,S9551823,Av. Tomas Valle 150,No
VE-0176,CL-0141,EQ-0094,28/01/2023,2,6191.54,12383.08,S9677152,Av. Brasil 3000,Si
VE-0177,CL-0099,EQ-0021,04/11/2024,1,22213.46,22213.46,S6736316,Av. Huancaray 500,Si
VE-0178,CL-0008,EQ-0090,21/06/2023,3,24085.24,72255.72,S7153032,Jr. Risso 333,No
VE-0179,CL-0044,EQ-0142,06/11/2022,1,18703.74,18703.74,S9009282,Calle Miguel Dasso 150,No
VE-0180,CL-0088,EQ-0083,24/07/2023,3,25924.71,77774.13,S5780804,Av. Morro Solar 1100,No
VE-0181,CL-0051,EQ-0044,26/01/2022,2,29349.96,58699.92,S4075769,Av. Peru 200,Si
VE-0182,CL-0075,EQ-0018,26/06/2024,2,15821.64,31643.28,S9420711,Av. Revolucion 100,Si
VE-0183,CL-0101,EQ-0145,07/08/2022,1,29215.1,29215.1,S7285193,Av. Honorio Delgado 400,No
VE-0184,CL-0055,EQ-0040,22/12/2022,3,16548.23,49644.69,S7140111,Jr. Tarapaca 150,Si
VE-0185,CL-0041,EQ-0079,30/07/2023,2,10031.05,20062.1,S7544417,Jr. Comandante Espinar 300,No
VE-0186,CL-0139,EQ-0146,14/11/2023,3,10890.71,32672.13,S5086169,Jr. Talara 111,No
VE-0187,CL-0111,EQ-0023,26/05/2024,1,27062.65,27062.65,S4718432,Av. Paso de los Andes 700,No
VE-0188,CL-0046,EQ-0013,15/01/2024,2,5993.61,11987.22,S3577680,Av. Angelica Gamarra 400,No
VE-0189,CL-0136,EQ-0125,06/06/2025,3,25078.46,75235.38,S5240559,Jr. Mariano Odria 100,No
VE-0190,CL-0049,EQ-0079,14/04/2023,3,10031.05,30093.15,S7544417,Av. Los Eucaliptos 600,Si
VE-0191,CL-0032,EQ-0099,30/06/2022,3,5513.1,16539.3,S9383006,Calle Los Halcones 88,Si
VE-0192,CL-0028,EQ-0049,19/02/2024,2,13122.76,26245.52,S2678698,Calle Los Sauces 45,No
VE-0193,CL-0026,EQ-0096,09/10/2022,3,21324.72,63974.16,S1036493,Av. Cultura 100,Si
VE-0194,CL-0134,EQ-0063,04/07/2022,2,24130.22,48260.44,S5345507,Jr. Las Dalias 200,Si
VE-0195,CL-0056,EQ-0019,05/12/2024,3,25497.27,76491.81,S3825358,Av. Aviacion 2800,Si
VE-0196,CL-0009,EQ-0032,04/07/2023,1,27317.26,27317.26,S2482768,Av. Bolivar 905,Si
VE-0197,CL-0148,EQ-0044,27/08/2023,2,29349.96,58699.92,S4075769,Jr. San Luis 300,No
VE-0198,CL-0072,EQ-0043,19/01/2025,1,23986.12,23986.12,S7745042,Av. El Pac�fico 250,Si
VE-0199,CL-0079,EQ-0037,25/05/2024,1,7822.42,7822.42,S1193428,Plaza de Armas S/N,No
VE-0200,CL-0124,EQ-0109,20/09/2025,3,25894.13,77682.39,S7922219,Av. La Encalada 300,Si
